Year,State,District,Rice_Area_1000ha,Rice_Prod_1000t,Rice_Yield,Wheat_Area_1000ha,Wheat_Prod_1000t,Wheat_Yield,Sorghum_Prod_1000t,Sorghum_Kharif_Prod_1000t,Sorghum_Rabi_Prod_1000t,PearlMillet_Prod_1000t,FingerMillet_Prod_1000t,Maize_Area_1000ha,Maize_Prod_1000t,Maize_Yield,Groundnut_Prod_1000t,Sesamum_Prod_1000t,RapeseedMustard_Prod_1000t,Safflower_Prod_1000t,Castor_Prod_1000t,Linseed_Prod_1000t,Sunflower_Prod_1000t,Soybean_Prod_1000t,Soybean_Yield,Oilseed_Prod_1000t,Oilseed_Yield,Sugarcane_Prod_1000t,Cotton_Prod_1000t
1966,Chhattisgarh,Durg,548.0,185.0,337.59,44.0,20.0,454.55,0.4,0.4,0.0,0.0,0.2,3.0,2.0,666.67,0.1,0.3,0.2,0.0,0.2,6.8,0.0,0.0,0.0,-1.0,-1.0,1.6,0.0
1967,Chhattisgarh,Durg,547.0,409.0,747.71,50.0,26.0,520.0,0.9,0.9,0.0,0.0,0.2,3.0,3.0,1000.0,0.1,0.9,0.3,0.0,0.1,25.8,0.0,0.0,0.0,-1.0,-1.0,1.2,0.0
1968,Chhattisgarh,Durg,556.3,468.0,841.27,53.7,30.0,558.66,0.4,0.4,0.0,0.0,0.2,2.8,2.0,714.29,0.1,1.6,0.5,0.0,0.3,23.8,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0
1969,Chhattisgarh,Durg,563.4,400.8,711.4,49.4,26.5,536.44,0.6,0.6,0.0,0.0,0.2,2.7,2.3,851.85,0.1,1.4,0.4,0.0,0.1,13.0,0.0,0.0,0.0,14.9,130.54,1.9,0.0
1970,Chhattisgarh,Durg,571.6,473.6,828.55,44.2,29.0,656.11,0.6,0.6,0.0,0.0,0.2,2.5,3.3,1320.0,0.1,1.1,0.4,0.0,0.1,22.7,0.0,0.0,0.0,24.3,192.25,1.4,0.0
1971,Chhattisgarh,Durg,581.8,412.9,709.69,44.4,25.8,581.08,0.2,0.2,0.0,0.0,0.2,2.7,3.1,1148.15,0.0,1.0,0.4,0.0,0.1,18.5,0.0,0.0,0.0,20.2,162.64,1.0,0.0
1972,Chhattisgarh,Durg,582.2,381.0,654.41,39.6,20.6,520.2,0.3,0.3,0.0,0.0,0.1,2.8,3.2,1142.86,0.0,1.9,0.7,0.0,0.1,22.7,0.0,0.0,0.0,25.4,205.17,1.0,0.0
1973,Chhattisgarh,Durg,600.0,471.9,786.5,37.3,18.6,498.66,0.2,0.2,0.0,0.0,0.2,2.9,2.7,931.03,0.0,1.3,0.7,0.0,0.1,28.0,0.0,0.0,0.0,30.3,232.72,1.2,0.0
1974,Chhattisgarh,Durg,587.4,219.0,372.83,36.5,22.4,613.7,0.4,0.4,0.0,0.0,0.3,2.9,2.9,1000.0,0.0,1.4,0.8,0.0,0.1,21.4,0.0,0.0,0.0,23.9,246.9,1.5,0.0
1975,Chhattisgarh,Durg,598.3,454.0,758.82,49.2,27.8,565.04,0.2,0.2,0.0,0.0,0.2,2.9,2.9,1000.0,0.0,0.9,0.9,0.0,0.1,28.7,0.0,0.0,0.0,30.8,234.22,1.4,0.0
